,Unnamed: 0,Month of absence,Day of the week,Seasons,Transportation expense,Age,Work load Average/day ,Hit target,Social drinker,Social smoker,Body mass index,Absenteeism time in hours,Label
0,0,7,3,1,289,33,239.554,97,1,0,30,4,0
1,1,7,3,1,118,50,239.554,97,1,0,31,0,2
2,2,7,4,1,179,38,239.554,97,1,0,31,2,0
3,3,7,5,1,279,39,239.554,97,1,1,24,4,1
4,4,7,5,1,289,33,239.554,97,1,0,30,2,0
5,5,7,6,1,179,38,239.554,97,1,0,31,2,0
6,6,7,6,1,361,28,239.554,97,1,0,27,8,0
7,7,7,6,1,260,36,239.554,97,1,0,23,4,0
8,8,7,2,1,155,34,239.554,97,1,0,25,40,2
9,9,7,2,1,235,37,239.554,97,0,0,29,8,1
10,10,7,2,1,260,36,239.554,97,1,0,23,8,0
11,11,7,3,1,260,36,239.554,97,1,0,23,8,0
12,12,7,4,1,260,36,239.554,97,1,0,23,8,0
13,13,7,4,1,179,38,239.554,97,1,0,31,1,0
14,14,7,4,1,179,38,239.554,97,1,0,31,4,0
15,15,7,6,1,246,41,239.554,97,1,0,23,8,1
16,16,7,6,1,179,38,239.554,97,1,0,31,2,0
17,17,7,2,1,179,38,239.554,97,1,0,31,8,0
18,18,7,5,1,189,33,239.554,97,0,0,25,8,0
19,19,8,4,1,248,47,205.917,92,0,0,32,2,0
20,20,8,4,1,330,28,205.917,92,0,0,25,8,1
21,21,8,2,1,179,38,205.917,92,1,0,31,1,0
22,22,8,2,1,361,28,205.917,92,1,0,27,40,0
23,23,8,6,1,260,36,205.917,92,1,0,23,4,0
24,24,8,2,1,289,33,205.917,92,1,0,30,8,0
25,25,8,2,1,361,28,205.917,92,1,0,27,7,0
26,26,8,3,1,289,33,205.917,92,1,0,30,1,0
27,27,8,4,1,157,29,205.917,92,1,1,22,4,1
28,28,8,4,1,289,33,205.917,92,1,0,30,8,0
29,29,8,6,1,179,38,205.917,92,1,0,31,2,0
30,30,8,2,1,179,38,205.917,92,1,0,31,8,0
31,31,8,5,1,235,48,205.917,92,0,1,33,8,0
32,32,8,5,1,235,37,205.917,92,0,0,29,4,1
33,33,8,2,1,235,48,205.917,92,0,1,33,8,0
34,34,8,2,1,179,38,205.917,92,1,0,31,2,0
35,35,8,2,1,361,28,205.917,92,1,0,27,1,0
36,36,8,3,1,289,33,205.917,92,1,0,30,8,0
37,37,8,5,1,291,32,205.917,92,1,0,23,4,0
38,38,8,6,1,235,48,205.917,92,0,1,33,8,0
39,39,8,6,1,260,36,205.917,92,1,0,23,4,0
40,40,9,3,1,184,27,241.476,92,0,0,21,2,1
41,41,9,2,1,118,37,241.476,92,0,0,28,4,1
42,42,9,3,1,179,38,241.476,92,1,0,31,4,0
43,43,9,3,1,235,43,241.476,92,1,0,38,8,0
44,44,9,4,1,155,34,241.476,92,1,0,25,2,2
45,45,9,2,1,118,37,241.476,92,0,0,28,3,1
46,46,9,3,1,179,38,241.476,92,1,0,31,3,0
47,47,9,5,1,291,40,241.476,92,1,0,25,4,0
48,48,9,6,1,260,36,241.476,92,1,0,23,8,0
49,49,9,2,4,291,40,241.476,92,1,0,25,32,0
50,50,9,2,4,260,36,241.476,92,1,0,23,0,2
51,51,9,2,4,225,28,241.476,92,0,0,24,0,2
52,52,9,3,4,225,28,241.476,92,0,0,24,2,1
53,53,9,3,4,118,37,241.476,92,0,0,28,2,2
54,54,9,3,4,289,33,241.476,92,1,0,30,0,2
55,55,9,3,4,118,50,241.476,92,1,0,31,0,2
56,56,9,4,4,225,28,241.476,92,0,0,24,3,1
57,57,9,4,4,179,38,241.476,92,1,0,31,3,0
58,58,9,4,4,369,31,241.476,92,1,0,25,0,2
59,59,9,6,4,248,47,241.476,92,0,0,32,1,0
60,60,9,6,4,179,38,241.476,92,1,0,31,3,0
61,61,9,6,4,260,36,241.476,92,1,0,23,4,0
62,62,10,3,4,179,38,253.465,93,1,0,31,3,0
63,63,10,3,4,118,37,253.465,93,0,0,28,3,2
64,64,10,4,4,118,50,253.465,93,1,0,31,0,2
65,65,10,5,4,179,30,253.465,93,0,0,19,1,1
66,66,10,6,4,179,38,253.465,93,1,0,31,3,0
67,67,10,6,4,225,28,253.465,93,0,0,24,3,1
68,68,10,3,4,118,37,253.465,93,0,0,28,3,2
69,69,10,4,4,225,28,253.465,93,0,0,24,2,1
70,70,10,4,4,248,47,253.465,93,0,0,32,2,2
71,71,10,5,4,291,40,253.465,93,1,0,25,5,0
72,72,10,4,4,179,38,253.465,93,1,0,31,8,0
73,73,10,4,4,225,28,253.465,93,0,0,24,3,1
74,74,10,5,4,260,36,253.465,93,1,0,23,16,0
75,75,10,3,4,291,40,253.465,93,1,0,25,8,0
76,76,10,3,4,225,28,253.465,93,0,0,24,2,1
77,77,10,4,4,289,33,253.465,93,1,0,30,8,0
78,78,10,6,4,361,28,253.465,93,1,0,27,1,0
79,79,10,6,4,260,36,253.465,93,1,0,23,3,0
80,80,11,5,4,179,38,306.345,93,1,0,31,1,0
81,81,11,4,4,225,28,306.345,93,0,0,24,1,1
82,82,11,5,4,179,38,306.345,93,1,0,31,8,0
83,83,11,5,4,179,40,306.345,93,0,1,22,8,2
84,84,11,5,4,291,40,306.345,93,1,0,25,5,0
85,85,11,2,4,155,34,306.345,93,1,0,25,32,2
86,86,11,2,4,189,33,306.345,93,0,0,25,8,1
87,87,11,2,4,291,40,306.345,93,1,0,25,40,0
88,88,11,4,4,225,28,306.345,93,0,0,24,1,1
89,89,11,6,4,155,34,306.345,93,1,0,25,8,2
90,90,11,4,4,225,28,306.345,93,0,0,24,3,1
91,91,11,4,4,179,40,306.345,93,0,1,22,8,2
92,92,11,6,4,225,28,306.345,93,0,0,24,3,1
93,93,11,6,4,260,36,306.345,93,1,0,23,4,0
94,94,11,2,4,248,47,306.345,93,0,0,32,1,2
95,95,11,3,4,225,28,306.345,93,0,0,24,3,1
96,96,11,4,4,289,33,306.345,93,1,0,30,24,0
97,97,11,5,4,291,40,306.345,93,1,0,25,3,0
98,98,12,3,4,248,47,261.306,97,0,0,32,1,2
99,99,12,3,4,118,37,261.306,97,0,0,28,64,2
100,100,12,4,4,118,50,261.306,97,1,0,31,2,2
101,101,12,4,4,235,37,261.306,97,0,0,29,8,1
102,102,12,5,4,225,28,261.306,97,0,0,24,2,1
103,103,12,6,4,260,36,261.306,97,1,0,23,8,0
104,104,12,3,4,118,37,261.306,97,0,0,28,56,2
105,105,12,4,4,361,28,261.306,97,1,0,27,8,0
106,106,12,5,4,225,28,261.306,97,0,0,24,3,1
107,107,12,6,4,260,36,261.306,97,1,0,23,3,0
108,108,12,3,4,225,28,261.306,97,0,0,24,2,1
109,109,12,4,4,361,28,261.306,97,1,0,27,8,0
110,110,12,6,4,118,37,261.306,97,0,0,28,2,1
111,111,12,6,2,246,41,261.306,97,1,0,23,8,1
112,112,12,6,2,225,28,261.306,97,0,0,24,2,1
113,113,1,4,2,225,28,308.593,95,0,0,24,1,1
114,114,1,2,2,118,37,308.593,95,0,0,28,1,1
115,115,1,3,2,118,37,308.593,95,0,0,28,1,1
116,116,1,3,2,155,34,308.593,95,1,0,25,8,2
117,117,1,4,2,225,28,308.593,95,0,0,24,2,1
118,118,1,5,2,184,27,308.593,95,0,0,21,2,1
119,119,1,5,2,225,28,308.593,95,0,0,24,2,1
120,120,1,6,2,225,28,308.593,95,0,0,24,1,1
121,121,1,2,2,118,37,308.593,95,0,0,28,2,1
122,122,1,3,2,225,28,308.593,95,0,0,24,2,1
123,123,1,3,2,118,37,308.593,95,0,0,28,2,1
124,124,1,4,2,118,37,308.593,95,0,0,28,2,1
125,125,1,5,2,118,37,308.593,95,0,0,28,2,1
126,126,1,6,2,118,37,308.593,95,0,0,28,2,1
127,127,1,2,2,118,37,308.593,95,0,0,28,2,1
128,128,1,3,2,118,37,308.593,95,0,0,28,2,1
129,129,1,3,2,179,30,308.593,95,0,0,19,8,1
130,130,1,3,2,289,33,308.593,95,1,0,30,8,0
131,131,1,4,2,118,37,308.593,95,0,0,28,2,1
132,132,1,5,2,184,27,308.593,95,0,0,21,2,1
133,133,1,5,2,118,37,308.593,95,0,0,28,2,1
134,134,1,2,2,118,37,308.593,95,0,0,28,0,1
135,135,1,3,2,225,28,308.593,95,0,0,24,1,1
136,136,1,5,2,289,33,308.593,95,1,0,30,3,0
137,137,2,6,2,184,27,302.585,99,0,0,21,1,1
138,138,2,4,2,246,41,302.585,99,1,0,23,8,1
139,139,2,4,2,179,38,302.585,99,1,0,31,8,0
140,140,2,5,2,155,34,302.585,99,1,0,25,2,1
141,141,2,5,2,189,33,302.585,99,0,0,25,8,1
142,142,2,6,2,260,36,302.585,99,1,0,23,2,0
143,143,2,6,2,289,33,302.585,99,1,0,30,8,0
144,144,2,2,2,388,50,302.585,99,0,0,24,8,1
145,145,2,3,2,388,50,302.585,99,0,0,24,8,2
146,146,2,2,2,225,28,302.585,99,0,0,24,2,1
147,147,2,3,2,225,28,302.585,99,0,0,24,2,1
148,148,2,3,2,179,30,302.585,99,0,0,19,1,1
149,149,2,3,2,184,27,302.585,99,0,0,21,8,1
150,150,2,5,2,225,28,302.585,99,0,0,24,3,1
151,151,2,2,2,330,28,302.585,99,0,0,25,8,1
152,152,2,3,2,330,28,302.585,99,0,0,25,1,1
153,153,2,4,2,225,28,302.585,99,0,0,24,1,1
154,154,2,5,2,189,33,302.585,99,0,0,25,8,1
155,155,3,3,2,291,32,343.253,95,1,0,23,2,0
156,156,3,3,2,260,36,343.253,95,1,0,23,8,0
157,157,3,3,2,157,29,343.253,95,1,1,22,3,1
